fold	prob_1	prob_2	prob_3	prob_4	std_1	std_2	std_3	std_4	LakeCode	true_label	true_idx	pred_idx	pred_label	entropy	entropy_norm	aleatoric_entropy	aleatoric_entropy_norm	epistemic_mi	margin_p1_p2	totvar_1	epivar_1	alevar_1	totvar_2	epivar_2	alevar_2	totvar_3	epivar_3	alevar_3	totvar_4	epivar_4	alevar_4	feat_meanTP	feat_meanTN	feat_meanTurb	feat_meanWC	feat_meanCond	feat_thermal_class	feat_bottom_DO_min	feat_surface_DO_min	feat_bottom_pH_min	feat_surface_pH_max	feat_area_m2	feat_SECCIDEPTH	feat_NEWDEPTH	feat_tyyppi_Lv	feat_tyyppi_Kh	feat_tyyppi_Mh	feat_tyyppi_MRh	feat_tyyppi_MVh	feat_tyyppi_Ph	feat_tyyppi_Vh	feat_tyyppi_PoLa	feat_tyyppi_Rh	feat_tyyppi_Rk	feat_tyyppi_Rr	feat_tyyppi_Sh	feat_tyyppi_SVh
5	0,023117049	0,538788855	0,4315916	0,006502435	0,060548175	0,080006048	0,098528579	0,017874645	611621001	3	2	1	2	0,815689564	0,588395644	0,946209788	0,682546085	-0,130520225	0,107197255	0,101662509	0,003666082	0,097996429	0,238456488	0,006400967	0,232055515	0,188698575	0,009707881	0,178990692	0,024656653	0,000319503	0,02433715	42,1	635,3333333	7,03	169,6666667	1,621666667	1	8,1	7,6	6,2	7,7	5274670,685	0,669	1,362	0	0	0	1	0	0	0	0	0	0	0	0	0
5	7,69691E-05	0,009668729	0,516575456	0,473678827	0,001481202	0,025674501	0,086531162	0,102060847	612541002	3	2	2	3	0,740741551	0,534332081	0,791524112	0,570963956	-0,050782561	0,042896628	0,001433788	2,19396E-06	0,001431594	0,034431059	0,00065918	0,03377188	0,240535453	0,007487643	0,233047813	0,246382609	0,010416416	0,235966191	14,41555556	291,6666667	0,957888889	56,33333333	1,9	3	3	8,3	6,5	7	3407954,686	2,222	16,214	0	0	0	0	0	0	1	0	0	0	0	0	0
5	0,000680321	0,065766655	0,747883976	0,18566899	0,007021326	0,077134371	0,061610643	0,10255786	613221001	3	2	2	3	0,713848233	0,514932653	0,987099349	0,712041668	-0,273251116	0,562214971	0,008111167	4,9299E-05	0,008061868	0,132050484	0,005949711	0,126100779	0,249190331	0,003795871	0,245394453	0,212676167	0,010518114	0,202158049	16,33333333	370,8333333	1,7	66,66666667	2,633333333	1	8	8,2	7,1	7,1	20883053,39	2,083	7,257	0	1	0	0	0	0	0	0	0	0	0	0	0
5	0,016063107	0,450373679	0,523417652	0,010145617	0,043282364	0,085378915	0,094304822	0,020594047	614681008	2	1	2	3	0,811036825	0,585039403	0,979692459	0,706698726	-0,168655634	0,073043972	0,080188952	0,001873363	0,078315586	0,245756149	0,007289559	0,238466591	0,214742303	0,008893399	0,205848902	0,033501554	0,000424115	0,033077441	39,16666667	660	4,675	68,125	2,3125	1	6,7	8,2	6,6	7,02	3091316,343	1,191	6,308	0	0	1	0	0	0	0	0	0	0	0	0	0
5	0,522638679	0,472144544	0,00521493	1,9352E-06	0,170037493	0,163119614	0,012694698	0,001256004	614861004	2	1	0	1	0,720888555	0,520011172	0,561391592	0,404958433	0,159496963	0,050494134	0,206539005	0,028912747	0,177626252	0,203221962	0,026608007	0,176613957	0,007458766	0,000161155	0,007297611	0,000293794	1,57755E-06	0,000292216	36,5	1158,333333	13,56666667	73,33333333	1,766666667	1	9,5	8,9	7	6,9	773268,348	0,789	2,8	0	0	1	0	0	0	0	0	0	0	0	0	0
5	0,102916457	0,759113789	0,137502849	0,000466989	0,130262032	0,101116307	0,057016235	0,005807094	615221006	2	1	1	2	0,719632149	0,519104866	0,83921814	0,605367924	-0,119585991	0,62161094	0,212207735	0,016968198	0,195239544	0,238632306	0,010224508	0,2284078	0,076314799	0,003250851	0,073063947	0,004518112	3,37223E-05	0,004484389	38	823,3333333	10,1	166,6666667	2,1	2,960016328	2,603388889	8,5	6,399133333	6,9	1910013,423	0,75	1,55	0	0	1	0	0	0	0	0	0	0	0	0	0
5	8,20796E-05	0,012527315	0,552301109	0,435089529	0,001307855	0,02682358	0,083634399	0,099003091	616221012	3	2	2	3	0,745602965	0,53783885	0,816644311	0,589084349	-0,071041346	0,11721158	0,001399555	1,71048E-06	0,001397844	0,040434822	0,000719504	0,03971532	0,244482979	0,006994713	0,23748827	0,24906005	0,009801612	0,239258438	11,66666667	433,3333333	1,401666667	37,08333333	1,983333333	1	0,8	8,1	6,5	7	1093260,716	2,538	6,212	0	0	1	0	0	0	0	0	0	0	0	0	0
5	0,000177529	0,024883078	0,663813949	0,311125427	0,001829745	0,035105705	0,075198822	0,094183587	616311001	3	2	2	3	0,728697896	0,52564442	0,887355566	0,640091737	-0,15865767	0,352688521	0,002462461	3,34797E-06	0,002459113	0,065825015	0,001232411	0,064592607	0,249997243	0,005654863	0,244342387	0,244868606	0,008870549	0,235998064	13	400	1,475	78,75	2,9	1	6,9	8,2	6,8	7,27	12672974,47	1,36	8,1	0	0	1	0	0	0	0	0	0	0	0	0	0
5	2,44058E-05	0,003166649	0,375249922	0,621559024	0,001288657	0,02069046	0,111149453	0,1249796	616311005	3	2	3	4	0,681856096	0,491855204	0,680208981	0,490667062	0,001647115	0,246309102	0,000836755	1,66064E-06	0,000835094	0,018959817	0,000428095	0,018531721	0,218076751	0,012354201	0,205722556	0,224877834	0,0156199	0,209257931	10,5	365	1,5	47,5	2,45	2	8	9,4	6,76	7,04	2816368,948	2	6,4	1	0	0	0	0	0	0	0	0	0	0	0	0
5	0,000176091	0,024669744	0,660318136	0,314836055	0,002134968	0,035845481	0,073156841	0,091130033	616511005	3	2	2	3	0,730765224	0,527135682	0,887434125	0,640148406	-0,156668901	0,345482081	0,002479665	4,55809E-06	0,002475107	0,065272927	0,001284898	0,06398803	0,249982744	0,005351924	0,244630814	0,245303974	0,008304683	0,236999288	10,9	510	1,775	97,5	3,445	1	6	8,2	6,52	7,32	5575484,634	1,425	5,66	0	0	1	0	0	0	0	0	0	0	0	0	0
5	3,45621E-06	0,000491507	0,208562866	0,790942192	0,000277595	0,005374762	0,092802577	0,095877148	616631002	3	2	3	4	0,516213119	0,372369053	0,528249204	0,381051254	-0,012036085	0,582379341	0,000171105	7,70588E-08	0,000171027	0,004376831	2,88881E-05	0,004347943	0,172059625	0,008612318	0,163447306	0,174588978	0,009192428	0,165396556	5,65	265	0,62	35	2,35	3	4,7	8,7	6,5	7,1	10299151,65	3,133	13,417	0	0	0	0	0	0	1	0	0	0	0	0	0
5	0,000951237	0,091398582	0,812209129	0,095441014	0,006195812	0,067929186	0,052973438	0,06325312	616721007	3	2	2	3	0,618443787	0,446112892	0,973724246	0,70239357	-0,355280459	0,716768146	0,010080075	3,83881E-05	0,010041687	0,160450667	0,004614375	0,155836299	0,241477475	0,002806185	0,238671288	0,158037856	0,004000957	0,154036894	22,77777778	408	2,924021444	88,43169676	3,083333333	2	0,2	8	6,44	7,29	723658,6605	1,345	7	0	0	1	0	0	0	0	0	0	0	0	0	0
5	0,00044383	0,05318404	0,748903632	0,197468489	0,005468097	0,077262685	0,074597023	0,121569738	617121001	3	2	2	3	0,696338654	0,502302161	0,951066554	0,6860495	-0,2547279	0,551435113	0,005966404	2,99001E-05	0,005936503	0,117667653	0,005969523	0,111698128	0,248899415	0,005564716	0,243334696	0,219233856	0,014779202	0,20445466	18,25	379,1666667	1,853333333	123,3333333	2,558333333	2	4,2	7,4	6,5	6,9	6451584,548	1,525	13,438	1	0	0	0	0	0	0	0	0	0	0	0	0
5	0,001456719	0,106515944	0,757645905	0,134381339	0,02542503	0,135826305	0,084882475	0,132533044	617211014	3	2	2	3	0,728042603	0,525171726	1,020801425	0,736352577	-0,292758822	0,623264551	0,019274697	0,000646432	0,018628264	0,178349957	0,018448783	0,159901172	0,249937013	0,007205035	0,242731974	0,190438136	0,017565008	0,172873124	26,5	315	1,775	79,5	6,35	3	0,2	6,4	6,8	7,6	188829,5637	1,579	4,875	0	0	0	0	0	0	0	0	0	1	0	0	0
5	0,000202801	0,029617867	0,686198175	0,283981204	0,001813611	0,038748074	0,070018262	0,090823755	617211022	3	2	2	3	0,721864462	0,52071514	0,903546512	0,651771036	-0,18168205	0,402216971	0,002716759	3,28919E-06	0,00271347	0,074305445	0,001501413	0,072804034	0,249833509	0,004902557	0,244930953	0,240694493	0,008248954	0,232445538	17	340	1,7	110	2,2	3	2	8,6	6,5	6,9	1206804,554	1,2	8,1	0	0	0	0	0	1	0	0	0	0	0	0	0
5	0,000181962	0,028160732	0,68445009	0,287207216	0,001525818	0,031919483	0,069817543	0,084375083	617541001	3	2	2	3	0,719903827	0,51930084	0,897810102	0,647633091	-0,177906275	0,397242874	0,002416106	2,32812E-06	0,002413778	0,070433602	0,001018853	0,06941475	0,249767914	0,004874489	0,244893432	0,241181955	0,007119155	0,234062806	22	350	1,4	75	2,1	2	2,9	9,1	6,5	7,1	5070784,325	1,4	7,833	0	0	1	0	0	0	0	0	0	0	0	0	0
5	3,7311E-06	0,000561709	0,217021048	0,782413602	0,000384773	0,005742429	0,092868842	0,096299678	617741012	4	3	3	4	0,527789295	0,380719499	0,536739051	0,387175384	-0,008949757	0,565392554	0,000199247	1,4805E-07	0,000199099	0,004840097	3,29755E-05	0,004807122	0,174585015	0,008624622	0,165960386	0,17734018	0,009273628	0,168066546	9	230	0,62	60	1,5	3	6,5	8,6	6,2	6,7	1035238,459	1,967	10,433	0	0	0	0	0	1	0	0	0	0	0	0	0
