Site_Id,LakeCode,ekoltasoid,palavpdvhs3_ha
39576,730251001,3.0,"23635,2"
39576,730251001,3.0,"95,59"
39579,730251001,3.0,"23635,2"
39579,730251001,3.0,"95,59"
39580,730251001,3.0,"23635,2"
39580,730251001,3.0,"95,59"
39581,730251096,,
39582,730251001,3.0,"23635,2"
39582,730251001,3.0,"95,59"
39585,730251001,3.0,"23635,2"
39585,730251001,3.0,"95,59"
39586,730251001,3.0,"23635,2"
39586,730251001,3.0,"95,59"
39592,730251001,3.0,"23635,2"
39592,730251001,3.0,"95,59"
39593,730251001,3.0,"23635,2"
39593,730251001,3.0,"95,59"
39594,730251110,,
39595,730251112,4.0,"117,3"
39596,730251112,4.0,"117,3"
39598,730251001,3.0,"23635,2"
39598,730251001,3.0,"95,59"
39599,730251123,,
39601,730251121,,
39602,730251121,,
39603,730251122,,
39605,730311001,2.0,"1889,83"
39606,730311001,2.0,"1889,83"
39608,730311001,2.0,"1889,83"
39609,730311001,2.0,"1889,83"
39610,730311001,2.0,"1889,83"
39611,730311001,2.0,"1889,83"
39612,730311001,2.0,"1889,83"
39613,730341021,,
39614,730341007,4.0,"55,98"
39618,730341020,,
39620,730311001,2.0,"1889,83"
39623,730311001,2.0,"1889,83"
39627,730311001,2.0,"1889,83"
39629,730311001,2.0,"1889,83"
39630,730311001,2.0,"1889,83"
39631,730311001,2.0,"1889,83"
39632,730311001,2.0,"1889,83"
39633,730311001,2.0,"1889,83"
39634,730341002,4.0,"53,52"
39635,730311001,2.0,"1889,83"
39636,730321001,4.0,"85,24"
39637,730321001,4.0,"85,24"
39638,730321002,4.0,"65,77"
39639,730311011,,
39641,730721020,4.0,"90,44"
39642,730721015,,
39643,730731001,4.0,"257,38"
39644,730771001,,
39645,730731001,4.0,"257,38"
39646,730771002,,
39647,730731065,,
39648,730731061,,
39649,730811001,4.0,"65,24"
39650,730811002,,
39651,730811011,4.0,"77,16"
39652,730811003,,
39653,730811004,4.0,"354,93"
39656,730811004,4.0,"354,93"
39657,730811023,,
39658,730811004,4.0,"354,93"
39659,730811004,4.0,"354,93"
39660,730811004,4.0,"354,93"
39661,730811004,4.0,"354,93"
39662,730811004,4.0,"354,93"
39675,730821013,,
39679,730821014,4.0,"54,5"
39688,730831001,4.0,"1819,65"
39689,730831001,4.0,"1819,65"
39709,84V1541001,,
39710,84V1541001,,
39711,84V1541001,,
39898,651311003,4.0,"66,26"
39904,653111125,1.0,"157,97"
39906,652801007,4.0,"53,87"
39909,653111001,3.0,"23025,96"
39910,653111001,3.0,"23025,96"
39912,653141030,4.0,"54,53"
39913,653531001,4.0,"514,51"
39914,653931001,4.0,"3328,73"
39915,653931001,4.0,"3328,73"
39916,653931001,4.0,"3328,73"
39917,653931001,4.0,"3328,73"
39918,653931001,4.0,"3328,73"
39919,653931001,4.0,"3328,73"
